radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
305.704718,0.65,19.932838,0.975,4,14.345,0.028,14.833,0.252,15.203,0,14.138,0,14.314,0
305.7055,0.7,19.851748,0.567,3,14.021,0.046,14.522,0.084,14.641,0.405,13.872,0.069,14.122,0
305.712448,0.553,19.874344,0.642,3,14.215,0.088,14.837,0.065,14.778,0.52,13.943,0.107,NA,NA
305.713082,0.407,19.82332,0.48,4,12.529,0.037,13.05,0.097,13.006,0.389,12.348,0.056,12.328,0.125
305.716743,1.044,19.908423,0.679,3,14.805,0.077,15.447,0.079,15.743,0,14.492,0,NA,NA
305.720839,0.776,19.802541,0.311,3,14.181,0.07,15.318,0.031,15.192,0.311,13.688,0.008,13.584,0
305.721854,0.834,19.778608,0.782,4,13.521,0.027,14.409,0.165,14.174,0.352,13.124,0.035,12.979,0.068
305.72305,1.024,19.914825,0.325,2,14.139,0.046,14.641,0,15.069,0,13.98,0,14.179,0
305.723181,1.264,19.9148,0.979,2,14.185,0.037,14.748,0.27,14.476,0,14.057,0,NA,NA
305.72323,1.079,19.819494,0.586,2,15.36,0,16.119,0.043,NA,NA,NA,NA,NA,NA
305.725605,0.405,19.870382,0.57,2,14.764,0.073,15.283,0.038,15.667,0,14.488,0,NA,NA
305.727249,0.664,19.855253,0.722,2,15.288,0.046,15.656,0.029,16.127,0,15.043,0,NA,NA
305.733811,0.532,19.97152,0.828,3,14.831,0.064,15.676,0.292,16.03,0,14.376,0,NA,NA
305.736696,1.255,19.873581,0.668,3,14.913,0.057,15.712,0.052,15.727,0.374,14.57,0,NA,NA
305.738486,0.88,19.82236,0.35,2,15.108,0.07,16.178,0.207,NA,NA,NA,NA,NA,NA
305.743833,0.511,19.987786,0.42,2,14.644,0,15.161,0,15.576,-0.047,14.398,0,NA,NA
305.747989,0.271,19.918224,0.319,3,13.742,0.031,14.476,0.04,14.511,0.422,13.443,0.006,13.583,0
305.74848,0.74,19.823939,0.542,4,13.501,0.037,14.62,0.079,14.269,0.375,13.095,0.077,12.835,0.157
305.748879,0.377,19.808308,0.294,4,12.247,0.031,12.778,0.09,12.717,0.405,12.092,0.034,12.118,0.151
305.752762,0.973,19.87599,0.538,3,14.486,0.093,14.913,0.016,15.062,0.374,14.379,0.119,NA,NA
305.756082,0.981,19.9894,1.23,2,14.877,0.063,15.563,0.056,15.942,0,14.54,0,NA,NA
305.766697,0.893,19.80103,0.901,2,15.239,0.06,15.792,0.2,16.242,0,15.099,0,NA,NA
305.76876,1.317,19.880297,0.655,2,15.389,0.125,16.035,0.033,NA,NA,NA,NA,NA,NA
305.771832,0.425,19.946969,0.446,4,12.711,0.06,13.873,0.104,13.518,0.431,12.337,0.115,12.038,0.117
305.776148,1.081,19.832243,0.901,2,15.933,0.277,16.315,0.054,NA,NA,NA,NA,NA,NA
305.77804,1.679,19.930716,0.609,2,15.323,0,16.278,0,16.429,-0.104,15.228,0,NA,NA
305.779851,1.393,19.794869,0.65,2,14.361,0.134,15.524,0.189,15.682,0,13.944,0,NA,NA
305.783078,0.644,19.784126,1.075,2,14.78,0.008,15.287,0.112,15.743,0,14.526,0,NA,NA
305.785382,1.136,19.98572,0.693,2,14.924,0.019,15.684,0.066,15.587,0.623,14.618,0,14.512,0
305.787095,0.849,19.843075,0.421,2,15.609,0,15.965,0.031,NA,NA,NA,NA,NA,NA
305.787593,0.666,19.917171,0.495,4,13.579,0.044,14.213,0.107,14.137,0.364,13.336,0.063,13.302,0.053
305.789469,0.537,19.833516,0.649,3,14.903,0.174,15.452,0.164,15.583,0.459,14.491,0.196,NA,NA
305.79093,0.767,19.952073,0.758,3,14.636,0.04,15.167,0.018,15.392,0.295,14.403,0.047,NA,NA
305.793569,0.598,19.989491,0.724,4,13.76,0.082,14.465,0.144,14.401,0.349,13.564,0.073,13.556,0.17
